SÕNAVORM,SAGEDUS_x,SAGEDUS_y
eesti,8,2327335.0
valeuudiste,6,611.0
roonemaa,5,1067.0
näiteks,5,895726.0
ülikooli,4,188294.0
eestis,4,502376.0
tartu,4,479599.0
venemaa,4,203827.0
aastal,4,1129796.0
teabe,3,39779.0
selgus,2,96112.0
klaassen,2,651.0
sõnas,2,132716.0
euroopa,2,753197.0
veenda,2,10747.0
valeinfo,2,1901.0
töötab,2,131559.0
levivad,2,5932.0
silverman,2,128.0
uudised,2,59950.0
sõna,2,185881.0
ingl,2,10104.0
kaks,2,714434.0
oskus,2,30012.0
ajakirjanduse,2,12731.0
termini,2,2899.0
allikapesu,2,0.0
ajal,2,893330.0
ameerika,2,102213.0
ajakirjanik,2,28134.0
kommunikatsiooni,2,10011.0
nõukogude,2,100815.0
süüria,2,25941.0
teadlikkust,1,10863.0
suurbritannia,1,35682.0
teadlikult,1,27600.0
tasu,1,84870.0
teema,1,237377.0
sputniku,1,1141.0
suur,1,583376.0
sotsiaaldemokraatide,1,6159.0
sotsiaalmeedia,1,26607.0
südameasjaks,1,3120.0
suurendada,1,59856.0
sõnul,1,450544.0
suurt,1,182326.0
tasandil,1,63769.0
tarvitada,1,6378.0
sõda,1,40811.0
sõel,1,1516.0
sõeluda,1,1095.0
tamm,1,28639.0
sõja,1,36986.0
soovitab,1,44973.0
sõnastada,1,7705.0
soovitatakse,1,17347.0
selgitust,1,5816.0
soovita,1,17369.0
soodustavaid,1,914.0
refereerimist,1,33.0
rahvusvahelise,1,76618.0
rahvuskonservatiivide,1,737.0
rahastatav,1,560.0
põhjust,1,71409.0
põhjamaades,1,4067.0
päevalehte,1,538.0
päevalehest,1,686.0
päevakajaline,1,788.0
provokatsioonide,1,322.0
protsess,1,47826.0
propaganda,1,8089.0
projekti,1,161487.0
professionaalses,1,1098.0
pressiteadete,1,334.0
reklaamlugude,1,1.0
relvana,1,915.0
riigi,1,272159.0
seletas,1,11825.0
sobivaks,1,7322.0
smarted-i,1,0.0
sisaldavad,1,38381.0
sensatsioonilisusele,1,4.0
selgitused,1,4091.0
seletust,1,3446.0
seisukohta,1,16183.0
rooda,1,163.0
seisukoht,1,19939.0
saavutas,1,34491.0
saar,1,42518.0
ründamiseks,1,951.0
rõhumist,1,262.0
rääkis,1,238420.0
teemadel,1,33066.0
terminit,1,3752.0
tegelevate,1,4094.0
väärarusaamad,1,234.0
välissõjaväeluure,1,0.0
välismaist,1,1288.0
väike,1,266354.0
vähem,1,275707.0
vormistamise,1,2977.0
vormis,1,49140.0
villem,1,5083.0
vilistlane,1,4254.0
viidatakse,1,4237.0
venekeelsest,1,793.0
vastaspoolt,1,430.0
vastandumine,1,2263.0
valeuudiseid,1,241.0
valeuudised,1,224.0
valeuudis,1,139.0
väljaande,1,7656.0
väärikas,1,8131.0
valdkonna,1,43520.0
võimatu,1,46909.0
ütlema,1,32813.0
üpris,1,30373.0
ühiskonnateaduste,1,1644.0
ühendriikides,1,14456.0
ühendriikide,1,26646.0
ühendanud,1,2786.0
üheksa,1,51415.0
üha,1,109641.0
öeldakse,1,37029.0
õpetata,1,1296.0
äärmiselt,1,83942.0
ähvardavalt,1,1023.0
võtnud,1,143369.0
võtab,1,215983.0
võrdlemisi,1,19908.0
valeinfot,1,1186.0
vajaliku,1,44027.0
tegelikult,1,480270.0
tõlkimise,1,2365.0
tähtis,1,114330.0
tähendab,1,307752.0
tuvastada,1,31776.0
tunnustatud,1,30465.0
traktorist,1,1184.0
toodi,1,30889.0
tipu,1,4570.0
tihti,1,167422.0
portaal,1,11884.0
termin,1,7337.0
tennus,1,96.0
tekstidautoristsandra,1,0.0
tekkinud,1,113900.0
tekkepõhjuste,1,254.0
tegemist,1,342436.0
tähtsusega,1,20425.0
tõsiseltvõetavuse,1,448.0
vaielda,1,12648.0
tööpraktikaid,1,23.0
vabaühingut,1,3.0
vabariikides,1,241.0
uuringust,1,11556.0
uudistega,1,2105.0
uudismeedias,1,28.0
uudiseks,1,1760.0
uudiseid,1,23514.0
uudise,1,9413.0
usaldusväärsuse,1,4483.0
usaldusväärseks,1,1712.0
usaldusväärse,1,6296.0
umbusu,1,197.0
töötlemine,1,9708.0
tööst,1,25506.0
tööriistad,1,12199.0
presidendivalimiste,1,5721.0
otseselt,1,66241.0
poliitikutel,1,2156.0
halvustada,1,1377.0
inimesed,1,520448.0
inimene,1,358177.0
inglis,1,635.0
holger,1,2017.0
hoiavad,1,26293.0
hiljem,1,359591.0
halvustama,1,525.0
gru,1,1251.0
keeles,1,166890.0
foto,1,110999.0
fake,1,2470.0
eurooplased,1,3747.0
erukindral,1,481.0
erialal,1,18319.0
eriala,1,35164.0
endistes,1,1074.0
inimest,1,255118.0
inimestega,1,58819.0
instituudis,1,8905.0
intervjueeris,1,1067.0
keelatud,1,60724.0
kauem,1,48114.0
kasvades,1,7849.0
kasutatakse,1,162770.0
kasutas,1,30351.0
kasutamine,1,116932.0
kasutada,1,483135.0
kasutab,1,81179.0
kaotas,1,59734.0
kanada,1,26032.0
kahtle,1,3713.0
jõud,1,46311.0
jõuavad,1,32698.0
jutus,1,4765.0
jm,1,26307.0
emotsiooni,1,11812.0
elukutseline,1,1480.0
elanike,1,41779.0
asjatundjate,1,3834.0
artikleid,1,18926.0
arenenum,1,836.0
andres,1,65113.0
andnud,1,113588.0
ametlikes,1,2291.0
allikate,1,8710.0
allikaid,1,5492.0
aktiivset,1,12692.0
ajalehtede,1,5550.0
ajakirjanikeni,1,39.0
ajakirjanikele,1,9149.0
ajakirjanduses,1,10624.0
ajakirja,1,26428.0
agentuuri,1,7711.0
aega,1,653321.0
asjakohane,1,17363.0
avaldamise,1,6959.0
eksperdina,1,1213.0
avaldamisele,1,842.0
eksperdile,1,306.0
eksitav,1,4001.0
eesmärk,1,220310.0
eelistama,1,3070.0
edastab,1,15884.0
ebausaldusväärne,1,566.0
dokumentides,1,3418.0
disinformation,1,54.0
desinformatsioonivõttega,1,0.0
desinformatsioon,1,248.0
craig,1,3451.0
bakalaureuseõppe,1,1436.0
bakalaureusetöös,1,210.0
avastas,1,16314.0
avaldamist,1,6712.0
keeleruum,1,85.0
kiirelt,1,91507.0
peavoolumeedia,1,2622.0
meediatarbijad,1,52.0
mõtet,1,100135.0
mõjust,1,8999.0
mõjuks,1,2959.0
muudetakse,1,15373.0
misinformation,1,13.0
mihkel,1,39140.0
meediaväljaandes,1,133.0
meediast,1,4156.0
kiiresti,1,218935.0
meediasisu,1,311.0
meediapädevust,1,93.0
meedial,1,1203.0
maia,1,3640.0
magistrant,1,1372.0
maailmapildile,1,156.0
lõputöö,1,4804.0
mõtted,1,51944.0
naeruvääristada,1,816.0
news,1,9675.0
noored,1,119123.0
peatoimetajaid,1,45.0
peamist,1,8195.0
parem,1,281434.0
paljususe,1,634.0
paljud,1,232171.0
otsis,1,13247.0
aastat,1,582852.0
organisatsioonide,1,18955.0
operatsioonidega,1,398.0
olulisem,1,43499.0
nõustu,1,7579.0
nähtuse,1,3972.0
noortele,1,47434.0
noortega,1,10398.0
noorte,1,125283.0
lõpetanud,1,43551.0
lõi,1,78341.0
lääne-euroopas,1,2821.0
kuulsuse,1,4110.0
kriitiliselt,1,6801.0
koolis,1,121819.0
kontrollida,1,67748.0
kommunikatsioonispetsialistina,1,28.0
kommenteerida,1,19768.0
kohaliku,1,87433.0
kogemus,1,84643.0
kodanikuorganisatsiooni,1,11.0
kodanikuaktiivsusele,1,32.0
klaasseni,1,108.0
kirjutanud,1,53278.0
kiputakse,1,4123.0
kipub,1,30742.0
kindlasti,1,602226.0
kindel,1,179386.0
kursis,1,40451.0
kvaliteetmeedia,1,36.0
luureanalüütik,1,35.0
külma,1,57507.0
lugemisosa,1,54.0
loodud,1,145058.0
loeb,1,37618.0
lisas,1,202991.0
lisakaitsena,1,60.0
liit,1,75170.0
liidu,1,295646.0
lihtsalt,1,751709.0
libauudis,1,296.0
levitamise,1,3820.0
levima,1,7904.0
levikut,1,14484.0
levida,1,3874.0
leidub,1,91505.0
leidsid,1,34456.0
ütles,1,618907.0
